"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lumensyvyys [cm]","Sademäärä [mm]","Ilman keskilämpötila [°C]"
"Rovaniemi Apukka","2021","1","29","02:00","46","0.1","-9.3"
"Rovaniemi Apukka","2021","1","30","02:00","45","1.3","-11.7"
"Rovaniemi Apukka","2021","1","31","02:00","47","0.9","-11.1"
"Rovaniemi Apukka","2021","2","1","02:00","47","-1","-15.6"
"Rovaniemi Apukka","2021","2","2","02:00","47","-1","-16.4"
"Rovaniemi Apukka","2021","2","3","02:00","45","-1","-12.5"
"Rovaniemi Apukka","2021","2","4","02:00","47","-1","-8.2"
"Rovaniemi Apukka","2021","2","5","02:00","45","0.1","-9.8"
"Rovaniemi Apukka","2021","2","6","02:00","45","-1","-8.8"
"Rovaniemi Apukka","2021","2","7","02:00","45","-1","-9.1"
"Rovaniemi Apukka","2021","2","8","02:00","44","-1","-14.3"
"Rovaniemi Apukka","2021","2","9","02:00","43","-1","-27.6"
"Rovaniemi Apukka","2021","2","10","02:00","44","-1","-27.1"
"Rovaniemi Apukka","2021","2","11","02:00","44","1","-21.6"
"Rovaniemi Apukka","2021","2","12","02:00","45","0.8","-14.4"
"Rovaniemi Apukka","2021","2","13","02:00","47","-1","-11.9"
"Rovaniemi Apukka","2021","2","14","02:00","47","0.5","-19.5"
"Rovaniemi Apukka","2021","2","15","02:00","49","0.6","-12.7"
"Rovaniemi Apukka","2021","2","16","02:00","46","-1","-19.9"
"Rovaniemi Apukka","2021","2","17","02:00","46","-1","-25.1"
"Rovaniemi Apukka","2021","2","18","02:00","46","0.2","-21.2"
"Rovaniemi Apukka","2021","2","19","02:00","48","2.3","-13.1"
"Rovaniemi Apukka","2021","2","20","02:00","55","4","-13.8"
"Rovaniemi Apukka","2021","2","21","02:00","60","2.4","-16"
"Rovaniemi Apukka","2021","2","22","02:00","61","2.5","-16.4"
"Rovaniemi Apukka","2021","2","23","02:00","63","4.6","-14"
"Rovaniemi Apukka","2021","2","24","02:00","64","2.9","-10.5"
"Rovaniemi Apukka","2021","2","25","02:00","65","0.3","-3.1"
"Rovaniemi Apukka","2021","2","26","02:00","64","0.5","-0.2"
"Rovaniemi Apukka","2021","2","27","02:00","61","2.3","-2.5"
"Rovaniemi Apukka","2021","2","28","02:00","62","-1","-0.1"
"Rovaniemi Apukka","2021","3","1","02:00","61","-1","2.6"
"Rovaniemi Apukka","2021","3","2","02:00","60","-1","-1.5"
"Rovaniemi Apukka","2021","3","3","02:00","60","1","-2.8"
"Rovaniemi Apukka","2021","3","4","02:00","60","-1","-9.4"
"Rovaniemi Apukka","2021","3","5","02:00","59","0.2","-12.9"
"Rovaniemi Apukka","2021","3","6","02:00","59","6","-8"
"Rovaniemi Apukka","2021","3","7","02:00","61","-1","-7.7"
"Rovaniemi Apukka","2021","3","8","02:00","60","-1","-15.5"
"Rovaniemi Apukka","2021","3","9","02:00","60","-1","-18"
"Rovaniemi Apukka","2021","3","10","02:00","59","-1","-21"
"Rovaniemi Apukka","2021","3","11","02:00","60","-1","-12.9"
"Rovaniemi Apukka","2021","3","12","02:00","60","0.1","-7"
"Rovaniemi Apukka","2021","3","13","02:00","61","0.1","-5.6"
"Rovaniemi Apukka","2021","3","14","02:00","61","0.1","-3.6"
"Rovaniemi Apukka","2021","3","15","02:00","61","-1","-2.4"
"Rovaniemi Apukka","2021","3","16","02:00","60","-1","-3"
"Rovaniemi Apukka","2021","3","17","02:00","60","0.7","-12"
"Rovaniemi Apukka","2021","3","18","02:00","60","-1","-8.1"
"Rovaniemi Apukka","2021","3","19","02:00","55","0.4","-11.4"
"Rovaniemi Apukka","2021","3","20","02:00","56","3.9","-2"
"Rovaniemi Apukka","2021","3","21","02:00","61","-1","-2.2"
"Rovaniemi Apukka","2021","3","22","02:00","63","-1","-5.7"
"Rovaniemi Apukka","2021","3","23","02:00","62","-1","1.7"
"Rovaniemi Apukka","2021","3","24","02:00","61","-1","2.5"
"Rovaniemi Apukka","2021","3","25","02:00","57","-1","1.8"
"Rovaniemi Apukka","2021","3","26","02:00","56","-1","-2.3"
"Rovaniemi Apukka","2021","3","27","02:00","56","1.9","2"
"Rovaniemi Apukka","2021","3","28","02:00","54","0.1","2.2"
"Rovaniemi Apukka","2021","3","29","03:00","52","3.8","1.1"
"Rovaniemi Apukka","2021","3","30","03:00","50","1.1","2"
"Rovaniemi Apukka","2021","3","31","03:00","45","-1","2.6"
"Rovaniemi Apukka","2021","4","1","03:00","41","-1","0.9"
"Rovaniemi Apukka","2021","4","2","03:00","37","-1","-0.2"
"Rovaniemi Apukka","2021","4","3","03:00","36","0.1","0.1"
"Rovaniemi Apukka","2021","4","4","03:00","34","2.8","1.6"
"Rovaniemi Apukka","2021","4","5","03:00","36","4.3","0.9"
"Rovaniemi Apukka","2021","4","6","03:00","34","1","-0.5"
"Rovaniemi Apukka","2021","4","7","03:00","34","-1","0.3"
"Rovaniemi Apukka","2021","4","8","03:00","34","-1","-1.8"
"Rovaniemi Apukka","2021","4","9","03:00","34","5.5","-3.1"
"Rovaniemi Apukka","2021","4","10","03:00","38","3.1","-0.5"
"Rovaniemi Apukka","2021","4","11","03:00","42","0.3","0.2"
"Rovaniemi Apukka","2021","4","12","03:00","37","3.9","-0.1"
"Rovaniemi Apukka","2021","4","13","03:00","43","3.3","0.4"
"Rovaniemi Apukka","2021","4","14","03:00","39","-1","0.4"
"Rovaniemi Apukka","2021","4","15","03:00","39","-1","2.2"
"Rovaniemi Apukka","2021","4","16","03:00","37","-1","2.6"
"Rovaniemi Apukka","2021","4","17","03:00","34","-1","3.6"
"Rovaniemi Apukka","2021","4","18","03:00","31","-1","4"
"Rovaniemi Apukka","2021","4","19","03:00","26","-1","4.6"
"Rovaniemi Apukka","2021","4","20","03:00","23","-1","5"
"Rovaniemi Apukka","2021","4","21","03:00","20","-1","3.8"
"Rovaniemi Apukka","2021","4","22","03:00","17","0.1","2.6"
"Rovaniemi Apukka","2021","4","23","03:00","14","3.3","1.3"
"Rovaniemi Apukka","2021","4","24","03:00","14","0.1","-0.2"
"Rovaniemi Apukka","2021","4","25","03:00","13","-1","1.1"
"Rovaniemi Apukka","2021","4","26","03:00","12","-1","1"
"Rovaniemi Apukka","2021","4","27","03:00","11","0.5","0.4"
"Rovaniemi Apukka","2021","4","28","03:00","9","-1","-0.7"
"Rovaniemi Apukka","2021","4","29","03:00","7","-1","0.1"
"Rovaniemi Apukka","2021","4","30","03:00","5","0.6","-1.6"
"Rovaniemi Apukka","2021","5","1","03:00","5","-1","-1.9"
"Rovaniemi Apukka","2021","5","2","03:00","3","1","-0.6"
"Rovaniemi Apukka","2021","5","3","03:00","2","-1","0.8"
"Rovaniemi Apukka","2021","5","4","03:00","-1","-1","2.7"
"Rovaniemi Apukka","2021","5","5","03:00","-1","-1","1"
"Rovaniemi Apukka","2021","5","6","03:00","-1","0.3","0.5"
"Rovaniemi Apukka","2021","5","7","03:00","-1","3.2","-0.9"
"Rovaniemi Apukka","2021","5","8","03:00","4","0.4","1.2"
"Rovaniemi Apukka","2021","5","9","03:00","-1","-1","3.4"
"Rovaniemi Apukka","2021","5","10","03:00","-1","3.5","4.6"
"Rovaniemi Apukka","2021","5","11","03:00","-1","2.7","5.6"
"Rovaniemi Apukka","2021","5","12","03:00","-1","0.1","8.1"
"Rovaniemi Apukka","2021","5","13","03:00","-1","-1","12.5"
"Rovaniemi Apukka","2021","5","14","03:00","-1","1.8","6.1"
"Rovaniemi Apukka","2021","5","15","03:00","-1","0.3","6.3"
"Rovaniemi Apukka","2021","5","16","03:00","-1","-1","9.9"
"Rovaniemi Apukka","2021","5","17","03:00","-1","3.3","12.2"
"Rovaniemi Apukka","2021","5","18","03:00","-1","-1","12.1"
"Rovaniemi Apukka","2021","5","19","03:00","-1","10.1","8.4"
"Rovaniemi Apukka","2021","5","20","03:00","-1","3.7","7.4"
"Rovaniemi Apukka","2021","5","21","03:00","-1","10.8","3"
"Rovaniemi Apukka","2021","5","22","03:00","-1","-1","2.7"
"Rovaniemi Apukka","2021","5","23","03:00","-1","0.3","3.3"
"Rovaniemi Apukka","2021","5","24","03:00","-1","-1","4.7"
"Rovaniemi Apukka","2021","5","25","03:00","-1","-1","7"
"Rovaniemi Apukka","2021","5","26","03:00","-1","-1","8.1"
"Rovaniemi Apukka","2021","5","27","03:00","-1","-1","7.6"
"Rovaniemi Apukka","2021","5","28","03:00","-1","-1","6.2"
"Rovaniemi Apukka","2021","5","29","03:00","-1","-1","5.7"
"Rovaniemi Apukka","2021","5","30","03:00","-1","-1","11.1"
"Rovaniemi Apukka","2021","5","31","03:00","-1","-1","12.5"
"Rovaniemi Apukka","2021","6","1","03:00","-1","-1","13.7"
"Rovaniemi Apukka","2021","6","2","03:00","-1","-1","17"
"Rovaniemi Apukka","2021","6","3","03:00","-1","-1","17.9"
"Rovaniemi Apukka","2021","6","4","03:00","-1","-1","18.7"
"Rovaniemi Apukka","2021","6","5","03:00","-1","1.1","18"
"Rovaniemi Apukka","2021","6","6","03:00","-1","-1","16"
"Rovaniemi Apukka","2021","6","7","03:00","-1","-1","16.3"
"Rovaniemi Apukka","2021","6","8","03:00","-1","-1","17.2"
"Rovaniemi Apukka","2021","6","9","03:00","-1","-1","17.1"
"Rovaniemi Apukka","2021","6","10","03:00","-1","-1","19.7"
"Rovaniemi Apukka","2021","6","11","03:00","-1","-1","19.8"
"Rovaniemi Apukka","2021","6","12","03:00","-1","2.9","17.9"
"Rovaniemi Apukka","2021","6","13","03:00","-1","0.5","13.6"
"Rovaniemi Apukka","2021","6","14","03:00","-1","22.7","12.1"
"Rovaniemi Apukka","2021","6","15","03:00","-1","12.9","11"
"Rovaniemi Apukka","2021","6","16","03:00","-1","0.5","8.5"
"Rovaniemi Apukka","2021","6","17","03:00","-1","0.7","11.2"
"Rovaniemi Apukka","2021","6","18","03:00","-1","1.5","12.5"
"Rovaniemi Apukka","2021","6","19","03:00","-1","0.1","14.3"
"Rovaniemi Apukka","2021","6","20","03:00","-1","2.5","11.3"
"Rovaniemi Apukka","2021","6","21","03:00","-1","51.3","14.6"
"Rovaniemi Apukka","2021","6","22","03:00","-1","1.5","15.5"
"Rovaniemi Apukka","2021","6","23","03:00","-1","-1","13.3"
"Rovaniemi Apukka","2021","6","24","03:00","-1","-1","15.9"
"Rovaniemi Apukka","2021","6","25","03:00","-1","0.6","16.7"
"Rovaniemi Apukka","2021","6","26","03:00","-1","-1","16"
"Rovaniemi Apukka","2021","6","27","03:00","-1","-1","15.7"
"Rovaniemi Apukka","2021","6","28","03:00","-1","-1","16.3"
"Rovaniemi Apukka","2021","6","29","03:00","-1","-1","15.4"
"Rovaniemi Apukka","2021","6","30","03:00","-1","-1","14.4"
"Rovaniemi Apukka","2021","7","1","03:00","-1","-1","16.1"
"Rovaniemi Apukka","2021","7","2","03:00","-1","-1","19.7"
"Rovaniemi Apukka","2021","7","3","03:00","-1","-1","21.5"
"Rovaniemi Apukka","2021","7","4","03:00","-1","-1","23.6"
"Rovaniemi Apukka","2021","7","5","03:00","-1","-1","22.9"
"Rovaniemi Apukka","2021","7","6","03:00","-1","-1","23.5"
"Rovaniemi Apukka","2021","7","7","03:00","-1","2.6","22.2"
"Rovaniemi Apukka","2021","7","8","03:00","-1","3.6","18.8"
"Rovaniemi Apukka","2021","7","9","03:00","-1","-1","18.9"
"Rovaniemi Apukka","2021","7","10","03:00","-1","-1","20.8"
"Rovaniemi Apukka","2021","7","11","03:00","-1","6.2","19.8"
"Rovaniemi Apukka","2021","7","12","03:00","-1","-1","20.5"
"Rovaniemi Apukka","2021","7","13","03:00","-1","-1","20.5"
"Rovaniemi Apukka","2021","7","14","03:00","-1","-1","19.3"
"Rovaniemi Apukka","2021","7","15","03:00","-1","-1","18.7"
"Rovaniemi Apukka","2021","7","16","03:00","-1","-1","16.7"
"Rovaniemi Apukka","2021","7","17","03:00","-1","4.6","16.8"
"Rovaniemi Apukka","2021","7","18","03:00","-1","6.8","13.1"
"Rovaniemi Apukka","2021","7","19","03:00","-1","0.4","13.1"
"Rovaniemi Apukka","2021","7","20","03:00","-1","-1","10.4"
"Rovaniemi Apukka","2021","7","21","03:00","-1","0.7","9.7"
"Rovaniemi Apukka","2021","7","22","03:00","-1","-1","12.5"
"Rovaniemi Apukka","2021","7","23","03:00","-1","0.2","11.2"
"Rovaniemi Apukka","2021","7","24","03:00","-1","-1","13.4"
"Rovaniemi Apukka","2021","7","25","03:00","-1","-1","16.6"
"Rovaniemi Apukka","2021","7","26","03:00","-1","-1","17.7"
"Rovaniemi Apukka","2021","7","27","03:00","-1","-1","18.2"
"Rovaniemi Apukka","2021","7","28","03:00","-1","1.6","21"
"Rovaniemi Apukka","2021","7","29","03:00","-1","-1","14.9"
"Rovaniemi Apukka","2021","7","30","03:00","-1","-1","13.1"
"Rovaniemi Apukka","2021","7","31","03:00","-1","0.9","13.6"
"Rovaniemi Apukka","2021","8","1","03:00","-1","4.4","14.8"
"Rovaniemi Apukka","2021","8","2","03:00","-1","-1","12.8"
"Rovaniemi Apukka","2021","8","3","03:00","-1","-1","12.6"
"Rovaniemi Apukka","2021","8","4","03:00","-1","-1","12.2"
"Rovaniemi Apukka","2021","8","5","03:00","-1","-1","12.8"
"Rovaniemi Apukka","2021","8","6","03:00","-1","-1","15.7"
"Rovaniemi Apukka","2021","8","7","03:00","-1","-1","15.7"
"Rovaniemi Apukka","2021","8","8","03:00","-1","0.2","16"
"Rovaniemi Apukka","2021","8","9","03:00","-1","1.1","15.4"
"Rovaniemi Apukka","2021","8","10","03:00","-1","1.4","15.9"
"Rovaniemi Apukka","2021","8","11","03:00","-1","-1","16.3"
"Rovaniemi Apukka","2021","8","12","03:00","-1","-1","16.4"
"Rovaniemi Apukka","2021","8","13","03:00","-1","0.1","15.1"
"Rovaniemi Apukka","2021","8","14","03:00","-1","15.1","14.2"
"Rovaniemi Apukka","2021","8","15","03:00","-1","6.4","14.7"
"Rovaniemi Apukka","2021","8","16","03:00","-1","0.7","10"
"Rovaniemi Apukka","2021","8","17","03:00","-1","1","12.4"
"Rovaniemi Apukka","2021","8","18","03:00","-1","9.3","14.6"
"Rovaniemi Apukka","2021","8","19","03:00","-1","5.8","14"
"Rovaniemi Apukka","2021","8","20","03:00","-1","7.5","13.4"
"Rovaniemi Apukka","2021","8","21","03:00","-1","1.3","10.8"
"Rovaniemi Apukka","2021","8","22","03:00","-1","-1","8.2"
"Rovaniemi Apukka","2021","8","23","03:00","-1","-1","6.6"
"Rovaniemi Apukka","2021","8","24","03:00","-1","-1","6.3"
"Rovaniemi Apukka","2021","8","25","03:00","-1","-1","8.2"
"Rovaniemi Apukka","2021","8","26","03:00","-1","-1","8.9"
"Rovaniemi Apukka","2021","8","27","03:00","-1","-1","7.8"
"Rovaniemi Apukka","2021","8","28","03:00","-1","-1","9.2"
"Rovaniemi Apukka","2021","8","29","03:00","-1","-1","9.9"
"Rovaniemi Apukka","2021","8","30","03:00","-1","-1","12.9"
"Rovaniemi Apukka","2021","8","31","03:00","-1","0.5","10.9"
"Rovaniemi Apukka","2021","9","1","03:00","-1","-1","8.6"
"Rovaniemi Apukka","2021","9","2","03:00","-1","-1","6.5"
"Rovaniemi Apukka","2021","9","3","03:00","-1","-1","6.3"
"Rovaniemi Apukka","2021","9","4","03:00","-1","-1","4.9"
"Rovaniemi Apukka","2021","9","5","03:00","-1","-1","4.9"
"Rovaniemi Apukka","2021","9","6","03:00","-1","1.3","8.8"
"Rovaniemi Apukka","2021","9","7","03:00","-1","2.2","10.4"
"Rovaniemi Apukka","2021","9","8","03:00","-1","5","9.7"
"Rovaniemi Apukka","2021","9","9","03:00","-1","-1","5.9"
"Rovaniemi Apukka","2021","9","10","03:00","-1","-1","6.9"
"Rovaniemi Apukka","2021","9","11","03:00","-1","-1","4.7"
"Rovaniemi Apukka","2021","9","12","03:00","-1","-1","5.6"
"Rovaniemi Apukka","2021","9","13","03:00","-1","24.1","5.7"
"Rovaniemi Apukka","2021","9","14","03:00","-1","12.7","4.1"
"Rovaniemi Apukka","2021","9","15","03:00","-1","-1","4.8"
"Rovaniemi Apukka","2021","9","16","03:00","-1","0.3","4.3"
"Rovaniemi Apukka","2021","9","17","03:00","-1","-1","4.5"
"Rovaniemi Apukka","2021","9","18","03:00","-1","0.2","5.8"
"Rovaniemi Apukka","2021","9","19","03:00","-1","-1","6"
"Rovaniemi Apukka","2021","9","20","03:00","-1","-1","5"
"Rovaniemi Apukka","2021","9","21","03:00","-1","-1","4.2"
"Rovaniemi Apukka","2021","9","22","03:00","-1","-1","4.5"
"Rovaniemi Apukka","2021","9","23","03:00","-1","1.4","6.3"
"Rovaniemi Apukka","2021","9","24","03:00","-1","2","7.4"
"Rovaniemi Apukka","2021","9","25","03:00","-1","1.1","6.6"
"Rovaniemi Apukka","2021","9","26","03:00","-1","-1","5.7"
"Rovaniemi Apukka","2021","9","27","03:00","-1","-1","9"
"Rovaniemi Apukka","2021","9","28","03:00","-1","-1","5.8"
"Rovaniemi Apukka","2021","9","29","03:00","-1","-1","4.6"
"Rovaniemi Apukka","2021","9","30","03:00","-1","0.6","6.7"
"Rovaniemi Apukka","2021","10","1","03:00","-1","-1","7"
"Rovaniemi Apukka","2021","10","2","03:00","-1","0.2","8.5"
"Rovaniemi Apukka","2021","10","3","03:00","-1","-1","8.9"
"Rovaniemi Apukka","2021","10","4","03:00","-1","10.5","10.4"
"Rovaniemi Apukka","2021","10","5","03:00","-1","0.9","9.7"
"Rovaniemi Apukka","2021","10","6","03:00","-1","22.8","9"
"Rovaniemi Apukka","2021","10","7","03:00","-1","4.7","7.3"
"Rovaniemi Apukka","2021","10","8","03:00","-1","4.3","2"
"Rovaniemi Apukka","2021","10","9","03:00","-1","1.8","5.8"
"Rovaniemi Apukka","2021","10","10","03:00","-1","5.7","9.4"
"Rovaniemi Apukka","2021","10","11","03:00","-1","1.4","7.6"
"Rovaniemi Apukka","2021","10","12","03:00","-1","1","3.9"
"Rovaniemi Apukka","2021","10","13","03:00","-1","-1","-0.6"
"Rovaniemi Apukka","2021","10","14","03:00","-1","4.3","0.7"
"Rovaniemi Apukka","2021","10","15","03:00","-1","19.8","6.1"
"Rovaniemi Apukka","2021","10","16","03:00","-1","4.6","4.3"
"Rovaniemi Apukka","2021","10","17","03:00","-1","0.3","2.1"
"Rovaniemi Apukka","2021","10","18","03:00","-1","-1","0.7"
"Rovaniemi Apukka","2021","10","19","03:00","-1","-1","-4.2"
"Rovaniemi Apukka","2021","10","20","03:00","-1","10.5","-2.8"
"Rovaniemi Apukka","2021","10","21","03:00","17","-1","-1.2"
"Rovaniemi Apukka","2021","10","22","03:00","14","-1","-0.9"
"Rovaniemi Apukka","2021","10","23","03:00","12","-1","-7.6"
"Rovaniemi Apukka","2021","10","24","03:00","11","3.9","-10.3"
"Rovaniemi Apukka","2021","10","25","03:00","15","5.2","-1.4"
"Rovaniemi Apukka","2021","10","26","03:00","15","4","0"
"Rovaniemi Apukka","2021","10","27","03:00","12","1.1","-1.6"
"Rovaniemi Apukka","2021","10","28","03:00","13","2.9","-0.4"
"Rovaniemi Apukka","2021","10","29","03:00","11","-1","2.4"
"Rovaniemi Apukka","2021","10","30","03:00","8","4.7","1.2"
"Rovaniemi Apukka","2021","10","31","03:00","4","0.4","2.1"
"Rovaniemi Apukka","2021","11","1","02:00","2","0.4","3.2"
"Rovaniemi Apukka","2021","11","2","02:00","-1","0.6","5.1"
"Rovaniemi Apukka","2021","11","3","02:00","-1","1.9","3.3"
"Rovaniemi Apukka","2021","11","4","02:00","-1","7.7","1.8"
"Rovaniemi Apukka","2021","11","5","02:00","-1","3","0.3"
"Rovaniemi Apukka","2021","11","6","02:00","-1","0.7","0.1"
"Rovaniemi Apukka","2021","11","7","02:00","-1","-1","-4.8"
"Rovaniemi Apukka","2021","11","8","02:00","2","-1","-10.1"
"Rovaniemi Apukka","2021","11","9","02:00","4","2.8","-9.3"
"Rovaniemi Apukka","2021","11","10","02:00","8","0.2","1.5"
"Rovaniemi Apukka","2021","11","11","02:00","5","1.8","-0.6"
"Rovaniemi Apukka","2021","11","12","02:00","6","0.1","-2"
"Rovaniemi Apukka","2021","11","13","02:00","7","-1","-5.2"
"Rovaniemi Apukka","2021","11","14","02:00","7","-1","-10.5"
"Rovaniemi Apukka","2021","11","15","02:00","8","4.2","-3.5"
"Rovaniemi Apukka","2021","11","16","02:00","9","0.4","-0.9"
"Rovaniemi Apukka","2021","11","17","02:00","9","3","2"
"Rovaniemi Apukka","2021","11","18","02:00","2","1.9","0.6"
"Rovaniemi Apukka","2021","11","19","02:00","2","-1","-7.1"
"Rovaniemi Apukka","2021","11","20","02:00","3","-1","-6.2"
"Rovaniemi Apukka","2021","11","21","02:00","4","-1","-7"
"Rovaniemi Apukka","2021","11","22","02:00","5","-1","-14.9"
"Rovaniemi Apukka","2021","11","23","02:00","5","2.7","-11"
"Rovaniemi Apukka","2021","11","24","02:00","10","-1","-11.7"
"Rovaniemi Apukka","2021","11","25","02:00","9","0.1","-14.9"
"Rovaniemi Apukka","2021","11","26","02:00","11","0.2","-10.6"
"Rovaniemi Apukka","2021","11","27","02:00","10","0.6","-20.5"
"Rovaniemi Apukka","2021","11","28","02:00","13","0.3","-13.6"
"Rovaniemi Apukka","2021","11","29","02:00","12","0.1","-12.4"
"Rovaniemi Apukka","2021","11","30","02:00","12","1.6","-17"
"Rovaniemi Apukka","2021","12","1","02:00","15","5.3","-8.6"
"Rovaniemi Apukka","2021","12","2","02:00","19","0.6","-5"
"Rovaniemi Apukka","2021","12","3","02:00","18","-1","-9.2"
"Rovaniemi Apukka","2021","12","4","02:00","17","-1","-21.8"
"Rovaniemi Apukka","2021","12","5","02:00","18","-1","-30.1"
"Rovaniemi Apukka","2021","12","6","02:00","18","-1","-25"
"Rovaniemi Apukka","2021","12","7","02:00","18","-1","-25.7"
"Rovaniemi Apukka","2021","12","8","02:00","19","0.6","-14.6"
"Rovaniemi Apukka","2021","12","9","02:00","21","-1","-14.2"
"Rovaniemi Apukka","2021","12","10","02:00","19","2.3","-10.1"
"Rovaniemi Apukka","2021","12","11","02:00","23","1.6","-4.8"
"Rovaniemi Apukka","2021","12","12","02:00","23","0.7","-4.2"
"Rovaniemi Apukka","2021","12","13","02:00","23","2","-2.1"
"Rovaniemi Apukka","2021","12","14","02:00","25","0.9","-3.6"
"Rovaniemi Apukka","2021","12","15","02:00","25","0.4","-0.9"
"Rovaniemi Apukka","2021","12","16","02:00","23","-1","-8.5"
"Rovaniemi Apukka","2021","12","17","02:00","24","0.3","-5.8"
"Rovaniemi Apukka","2021","12","18","02:00","26","-1","-7.5"
"Rovaniemi Apukka","2021","12","19","02:00","26","-1","-8.3"
"Rovaniemi Apukka","2021","12","20","02:00","25","-1","-13.4"
"Rovaniemi Apukka","2021","12","21","02:00","25","-1","-14.7"
"Rovaniemi Apukka","2021","12","22","02:00","25","2.2","-20"
"Rovaniemi Apukka","2021","12","23","02:00","29","2.3","-13"
"Rovaniemi Apukka","2021","12","24","02:00","39","0.1","-9.1"
"Rovaniemi Apukka","2021","12","25","02:00","38","-1","-13.7"
"Rovaniemi Apukka","2021","12","26","02:00","35","-1","-17.1"
"Rovaniemi Apukka","2021","12","27","02:00","33","-1","-17.4"
"Rovaniemi Apukka","2021","12","28","02:00","32","4.8","-18.7"
"Rovaniemi Apukka","2021","12","29","02:00","38","2.6","-6.4"
"Rovaniemi Apukka","2021","12","30","02:00","37","11.3","-2.6"
"Rovaniemi Apukka","2021","12","31","02:00","47","0.7","-5.6"
"Rovaniemi Apukka","2022","1","1","02:00","46","-1","-12.2"
"Rovaniemi Apukka","2022","1","2","02:00","45","-1","-18"
"Rovaniemi Apukka","2022","1","3","02:00","43","-1","-14.3"
"Rovaniemi Apukka","2022","1","4","02:00","42","1.1","-11.5"
"Rovaniemi Apukka","2022","1","5","02:00","44","-1","-13.5"
"Rovaniemi Apukka","2022","1","6","02:00","45","-1","-21.4"
"Rovaniemi Apukka","2022","1","7","02:00","46","-1","-12.9"
"Rovaniemi Apukka","2022","1","8","02:00","45","0.1","-27.2"
"Rovaniemi Apukka","2022","1","9","02:00","45","-1","-20.1"
"Rovaniemi Apukka","2022","1","10","02:00","44","0.2","-25.5"
"Rovaniemi Apukka","2022","1","11","02:00","45","1.9","-6.7"
"Rovaniemi Apukka","2022","1","12","02:00","-","2.4","-0.3"
"Rovaniemi Apukka","2022","1","13","02:00","43","-1","-3.5"
"Rovaniemi Apukka","2022","1","14","02:00","43","-1","-6.6"
"Rovaniemi Apukka","2022","1","15","02:00","42","0.6","-7.1"
"Rovaniemi Apukka","2022","1","16","02:00","45","3.7","-1.2"
"Rovaniemi Apukka","2022","1","17","02:00","46","-1","-7.2"
"Rovaniemi Apukka","2022","1","18","02:00","45","-1","-10.2"
"Rovaniemi Apukka","2022","1","19","02:00","45","1","0.6"
"Rovaniemi Apukka","2022","1","20","02:00","45","-1","-8.7"
"Rovaniemi Apukka","2022","1","21","02:00","45","-1","-7.5"
"Rovaniemi Apukka","2022","1","22","02:00","44","0.7","-16.5"
"Rovaniemi Apukka","2022","1","23","02:00","45","0.2","0.1"
"Rovaniemi Apukka","2022","1","24","02:00","45","-1","1.8"
"Rovaniemi Apukka","2022","1","25","02:00","43","-1","-10.2"
"Rovaniemi Apukka","2022","1","26","02:00","44","1.1","-13.6"
"Rovaniemi Apukka","2022","1","27","02:00","45","-1","-7.7"
"Rovaniemi Apukka","2022","1","28","02:00","45","0.2","-11.5"
"Rovaniemi Apukka","2022","1","29","02:00","45","0.8","-14.4"
"Rovaniemi Apukka","2022","1","30","02:00","47","-1","-14.9"
"Rovaniemi Apukka","2022","1","31","02:00","46","-1","-24.9"
"Rovaniemi Apukka","2022","2","1","02:00","46","-1","-21.8"
"Rovaniemi Apukka","2022","2","2","02:00","46","1.1","-11.5"
"Rovaniemi Apukka","2022","2","3","02:00","48","-1","-18"
"Rovaniemi Apukka","2022","2","4","02:00","48","8.5","-16.2"
"Rovaniemi Apukka","2022","2","5","02:00","57","0.1","-5.6"
"Rovaniemi Apukka","2022","2","6","02:00","56","0.5","-5"
"Rovaniemi Apukka","2022","2","7","02:00","55","0.2","-3.1"
"Rovaniemi Apukka","2022","2","8","02:00","54","1.9","-4.1"
"Rovaniemi Apukka","2022","2","9","02:00","57","0.1","-4"
"Rovaniemi Apukka","2022","2","10","02:00","57","0.5","-3"
"Rovaniemi Apukka","2022","2","11","02:00","56","-1","-8.1"
"Rovaniemi Apukka","2022","2","12","02:00","55","-1","-23.9"
"Rovaniemi Apukka","2022","2","13","02:00","56","1.3","-13.4"
"Rovaniemi Apukka","2022","2","14","02:00","56","-1","-15.7"
"Rovaniemi Apukka","2022","2","15","02:00","56","-1","-25.8"
"Rovaniemi Apukka","2022","2","16","02:00","56","1.5","-14.5"
"Rovaniemi Apukka","2022","2","17","02:00","59","3.4","-6"
"Rovaniemi Apukka","2022","2","18","02:00","57","4.5","-3.6"
"Rovaniemi Apukka","2022","2","19","02:00","59","0.2","-3.7"
"Rovaniemi Apukka","2022","2","20","02:00","60","-1","-8.7"
"Rovaniemi Apukka","2022","2","21","02:00","60","-1","-18.4"
"Rovaniemi Apukka","2022","2","22","02:00","59","-1","-19.9"
"Rovaniemi Apukka","2022","2","23","02:00","60","0.7","-21.3"
"Rovaniemi Apukka","2022","2","24","02:00","61","7.2","-3.7"
"Rovaniemi Apukka","2022","2","25","02:00","66","-1","-2.5"
"Rovaniemi Apukka","2022","2","26","02:00","65","-1","-7"
"Rovaniemi Apukka","2022","2","27","02:00","64","-1","-0.5"
"Rovaniemi Apukka","2022","2","28","02:00","63","-1","1.3"
